,claim_status,video_duration_sec,video_transcription_text,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,text_length,verified_status_verified,author_ban_status_banned,author_ban_status_under review
14829,0,51,my family's opinion is that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,2487.0,310.0,20.0,1.0,0.0,134,False,False,False
7396,1,43,a friend read a study mentioning that bubble wrap was originally designed to be used as wallpaper,118512.0,3543.0,374.0,70.0,29.0,97,False,True,False
2287,1,22,a friend read  online that the longest recorded cricket match lasted 14 days,105902.0,1885.0,229.0,39.0,9.0,76,False,False,True
18712,0,17,my family is convinced  that it snows in the sahara desert,9245.0,1670.0,440.0,13.0,4.0,58,False,False,False
9931,0,18,i feel that halley’s comet won’t be seen again until 2061,3791.0,660.0,63.0,9.0,1.0,57,False,False,False
10323,0,37,my family feels that the sunset is blue on mars,4888.0,712.0,159.0,2.0,1.0,47,False,False,False
8628,1,31,"a friend discovered on tv that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",892740.0,336875.0,1980.0,729.0,355.0,140,False,False,False
15776,0,27,my family's hypothesis is that applying an equal amount of pressure to the total surface area of an egg will prevent it from breaking,807.0,303.0,100.0,7.0,1.0,133,False,False,False
4542,1,52,i learned  on an internet forum that violin bows are made from horsehair,836955.0,535504.0,18286.0,1079.0,59.0,72,False,False,True
18779,0,17,my family is convinced  that the continental tectonic plates move at the same rate that fingernails grow,3128.0,91.0,29.0,2.0,0.0,104,False,False,False
18174,0,15,my family is willing to bet that the busiest airport in the world is in the united states,5723.0,2055.0,655.0,6.0,2.0,89,False,False,False
12043,0,33,my reasoning is that dubai is an island created by humans,4046.0,1732.0,334.0,42.0,4.0,57,False,False,False
16537,0,6,my colleagues' sentiment is that 90% of the world’s data was generated after 2019,9073.0,1710.0,132.0,5.0,1.0,81,False,False,True
18642,0,27,my friends are convinced  that saturn is less dense than water,9130.0,1773.0,684.0,41.0,3.0,62,False,False,False
5535,1,40,i read  in a discussion board that the longest recorded cricket match lasted 14 days,60008.0,10007.0,3881.0,249.0,108.0,84,False,False,False
17940,0,6,my friends are willing to bet that the queens in ant colonies live for around 30 years,1061.0,229.0,91.0,5.0,2.0,86,False,False,False
12941,0,40,our feeling is that a candle’s flame is blue in zero gravity,2890.0,1152.0,423.0,20.0,7.0,60,False,False,False
14989,0,17,my family's thinking is that only one-fourth of the sahara desert is sandy,7806.0,78.0,9.0,1.0,0.0,74,False,False,False
10953,0,34,my colleagues believe that cactus spines can be used to make hooks,4613.0,247.0,38.0,3.0,1.0,66,False,False,False
16970,0,33,my colleagues' hypothesis is that the largest recorded snowflake was 15 inches wide,8081.0,3008.0,55.0,22.0,1.0,83,False,False,False
4571,1,56,i learned  on an internet forum a claim that take out restaurants have been found in the remains of pompeii,717171.0,438664.0,108327.0,3318.0,1982.0,107,False,True,False
3363,1,56,"someone learned  in a discussion board that 99% of individuals in denmark, ireland and the united arab emirates have internet access",300840.0,46275.0,9014.0,595.0,349.0,132,False,False,True
14998,0,14,my family's thinking is that there are fewer stars in the sky than there are trees on earth,7115.0,1849.0,491.0,9.0,3.0,91,False,False,False
16717,0,53,"my colleagues' reasoning is that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",4131.0,1618.0,382.0,30.0,6.0,142,False,False,False
1629,1,14,a friend learned  on an internet forum that footprints left on the moon won’t disappear as there is no wind,608607.0,248852.0,90326.0,4131.0,1120.0,107,False,True,False
7114,1,33,a colleague read  on a website that it rains diamonds on jupiter and saturn,34090.0,15945.0,2771.0,184.0,56.0,75,False,False,True
817,1,27,the news claimed someone revealed that it rains diamonds on jupiter and saturn,968626.0,429529.0,124129.0,3599.0,1921.0,78,False,False,False
9724,0,40,i believe that the volcano olympus mons on mars is over 3 times taller than mount everest,811.0,170.0,18.0,2.0,1.0,89,False,False,False
13334,0,56,our hypothesis is that the largest rock on earth is in australia,3026.0,1201.0,176.0,28.0,4.0,64,False,False,False
12384,0,26,our point of view is that the continental tectonic plates move at the same rate that fingernails grow,6866.0,2250.0,70.0,6.0,2.0,101,True,False,False
13929,0,53,my friends' understanding is that the opposite sides of dice will always equal 7,1597.0,673.0,175.0,2.0,0.0,80,False,False,False
13833,0,57,my friends' understanding is that humans will live on mars by 2035,2970.0,1134.0,365.0,14.0,2.0,66,False,False,False
8226,1,42,a colleague read an article mentioning that yellowstone national park is home to a supervolcano,575033.0,292017.0,27289.0,6650.0,2055.0,95,False,False,False
6796,1,46,"a colleague read  on an internet forum a claim that blue whales eat 500,000 calories in 1 mouthful on average",348780.0,9767.0,1741.0,224.0,85.0,109,False,False,False
5905,1,7,a colleague learned  online that an average user spends 40% of their day on the internet,933536.0,155152.0,16519.0,1584.0,404.0,88,False,False,False
3256,1,56,someone learned  from the media a claim that smelling green apples help with weight loss,619472.0,122941.0,13761.0,2816.0,1076.0,88,False,True,False
2690,1,8,a friend read  in a discussion board that chihuahuas have the largest brain among dogs,811844.0,4215.0,735.0,81.0,46.0,86,False,False,False
13771,0,16,my friends' thinking is that adult cats only meow to humans,1414.0,125.0,28.0,0.0,0.0,59,False,False,False
15683,0,57,my family's belief is that children are born less frequently on saturdays,4710.0,1651.0,550.0,25.0,0.0,73,False,False,False
15992,0,49,my colleagues' opinion is that humans will live on mars by 2035,6435.0,514.0,83.0,13.0,4.0,63,False,False,False
1245,1,34,"a colleague reported the media discovered in a deck of cards, the king of hearts is the only king without a mustache",801458.0,283323.0,15732.0,4111.0,466.0,116,False,False,False
15915,0,16,my colleagues' view is that the busiest airport in the world is in the united states,4311.0,50.0,13.0,1.0,0.0,84,False,False,False
3794,1,34,"someone read  on an internet forum that the voyager spacecrafts have carried a recording of chuck berry's ""johnny b. goode"" out of our solar system",604729.0,215338.0,13060.0,3538.0,2279.0,147,False,False,True
15100,0,30,"my family's understanding is that in a deck of cards, the king of hearts is the only king without a mustache",5873.0,256.0,0.0,1.0,0.0,108,False,False,False
17772,0,12,my friends are willing to wager that windshield wipers were invented in 1905,6534.0,2048.0,190.0,27.0,7.0,76,False,False,False
7881,1,30,"someone discovered a report mentioning that 99% of individuals in denmark, ireland and the united arab emirates have internet access",802804.0,235514.0,21252.0,5007.0,74.0,132,False,True,False
259,1,20,a friend claimed someone discovered that a man once set a record by putting on over 260 t-shirts,223109.0,105943.0,21379.0,1689.0,162.0,96,False,True,False
3417,1,23,someone learned  in a discussion board a claim that humans can’t taste food without saliva,846593.0,545364.0,42075.0,12866.0,7694.0,90,False,True,False
11336,0,39,my view is that humans are more likely to have a weird or scary dream when sleeping on their stomach,8017.0,489.0,20.0,1.0,0.0,100,False,False,False
16965,0,50,my colleagues' hypothesis is that there are billions of eggs produced commercially each year,6552.0,744.0,127.0,8.0,2.0,92,False,False,False
2615,1,59,a friend read  on social media that neptune was the first planet that was discovered before being seen through a telescope,463029.0,180215.0,46382.0,2047.0,476.0,122,False,False,False
15238,0,40,my family's feeling is that the oldest playable musical instruments were found in china,132.0,35.0,1.0,0.0,0.0,87,False,False,False
5172,1,51,i read  online that the average car contains over 30000 unique parts,713430.0,362636.0,34433.0,3362.0,1876.0,68,False,False,False
3173,1,31,someone learned  on an internet forum a claim that there might be a huge planet in this solar system,576710.0,119284.0,45808.0,608.0,401.0,100,False,False,True
202,1,46,a friend told me someone discovered that no two tongue prints are alike,482106.0,228292.0,64845.0,1252.0,465.0,71,False,False,True
7424,1,13,"a friend read a study claim that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",23305.0,7609.0,767.0,87.0,21.0,136,False,False,True
